label, method, accuracy, time(microseconds)
i=pt342, pca/dnn_1, 0.6538461538461539, 7803
i=pt342, pca/dnn_2, 0.9935897435897436, 6519
i=pt342, pca/dnn_3, 0.9935897435897436, 6403
i=pt342, pca/dnn_4, 0.9935897435897436, 8888
i=pt342, pca/dnn_5, 0.9935897435897436, 6487
i=pt342, pca/rf_50, 0.9935897435897436, 66900
i=pt342, pca/rf_100, 0.9935897435897436, 125210
i=pt342, pca/rf_150, 0.9935897435897436, 184072
i=pt342, pca/rf_200, 0.9935897435897436, 221175
i=pt342, pca/rf_250, 0.9935897435897436, 324213
i=pt342, pca/rf_300, 0.9935897435897436, 411025

o=pt342, none/dnn_1, 0.9935897435897436, 89262
o=pt342, none/dnn_2, 0.9935897435897436, 150564
o=pt342, none/dnn_3, 0.9935897435897436, 151120
o=pt342, none/dnn_4, 0.9935897435897436, 152371
o=pt342, none/dnn_5, 0.9935897435897436, 144010
o=pt342, none/rf_50, 0.9935897435897436, 98241
o=pt342, none/rf_100, 0.9935897435897436, 195217
o=pt342, none/rf_150, 0.9935897435897436, 283505
o=pt342, none/rf_200, 0.9935897435897436, 375348
o=pt342, none/rf_250, 0.9935897435897436, 461903
o=pt342, none/rf_300, 0.9935897435897436, 573139
o=pt342, pca/dnn_1, 0.6538461538461539, 6946
o=pt342, pca/dnn_2, 0.9935897435897436, 6652
o=pt342, pca/dnn_3, 0.9935897435897436, 6415
o=pt342, pca/dnn_4, 0.9935897435897436, 8735
o=pt342, pca/dnn_5, 0.9935897435897436, 6749
o=pt342, pca/rf_50, 0.9935897435897436, 63763
o=pt342, pca/rf_100, 0.9935897435897436, 124117
o=pt342, pca/rf_150, 0.9935897435897436, 187473
o=pt342, pca/rf_200, 0.9935897435897436, 227316
o=pt342, pca/rf_250, 0.9935897435897436, 279515
o=pt342, pca/rf_300, 0.9935897435897436, 466766

i=pt208, none/dnn_1, 1.0, 91526
i=pt208, none/dnn_2, 1.0, 86586
i=pt208, none/dnn_3, 1.0, 89278
i=pt208, none/dnn_4, 1.0, 88146
i=pt208, none/dnn_5, 1.0, 86545
i=pt208, none/rf_50, 1.0, 33331
i=pt208, none/rf_100, 1.0, 59492
i=pt208, none/rf_150, 1.0, 86450
i=pt208, none/rf_200, 1.0, 111827
i=pt208, none/rf_250, 1.0, 134579
i=pt208, none/rf_300, 1.0, 159444
i=pt208, pca/dnn_1, 1.0, 7593
i=pt208, pca/dnn_2, 1.0, 6697
i=pt208, pca/dnn_3, 1.0, 6258
i=pt208, pca/dnn_4, 1.0, 8275
i=pt208, pca/dnn_5, 1.0, 6697
i=pt208, pca/rf_50, 1.0, 28612
i=pt208, pca/rf_100, 1.0, 55254
i=pt208, pca/rf_150, 1.0, 75324
i=pt208, pca/rf_200, 1.0, 107094
i=pt208, pca/rf_250, 1.0, 142451
i=pt208, pca/rf_300, 1.0, 473058

o=pt208, none/dnn_1, 1.0, 88858
o=pt208, none/dnn_2, 1.0, 83824
o=pt208, none/dnn_3, 1.0, 99574
o=pt208, none/dnn_4, 1.0, 92078
o=pt208, none/dnn_5, 1.0, 90910
o=pt208, none/rf_50, 1.0, 35818
o=pt208, none/rf_100, 1.0, 62008
o=pt208, none/rf_150, 1.0, 85245
o=pt208, none/rf_200, 1.0, 111998
o=pt208, none/rf_250, 1.0, 129638
o=pt208, none/rf_300, 1.0, 166408
o=pt208, pca/dnn_1, 1.0, 7185
o=pt208, pca/dnn_2, 1.0, 6277
o=pt208, pca/dnn_3, 1.0, 6765
o=pt208, pca/dnn_4, 1.0, 7748
o=pt208, pca/dnn_5, 1.0, 7204
o=pt208, pca/rf_50, 1.0, 28424
o=pt208, pca/rf_100, 1.0, 51023
o=pt208, pca/rf_150, 1.0, 74272
o=pt208, pca/rf_200, 1.0, 106541
o=pt208, pca/rf_250, 1.0, 136571
o=pt208, pca/rf_300, 1.0, 273794

